customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0013,Male,0,No,No,47,Yes,No,DSL,Yes,No internet service,No,No,No internet service,Yes,Two year,Yes,Bank transfer,54.12,2573.52,No
CUST0014,Male,0,No,Yes,17,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,24.98,432.03,No
CUST0015,Female,0,Yes,No,69,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,115.33,8018.05,No
CUST0016,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,52.72,269.26,No
CUST0017,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Credit card,112.94,4360.36,Yes
CUST0018,Female,0,No,No,10,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card,101.39,1106.79,No
CUST0019,Female,1,No,Yes,24,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Mailed check,53.52,1312.84,Yes
CUST0020,Male,0,Yes,Yes,54,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,No,Electronic check,89.41,4854.26,No
CUST0021,Female,1,No,No,57,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No,No internet service,One year,Yes,Electronic check,67.36,3866.84,No
CUST0022,Male,0,No,Yes,36,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,117.67,4342.24,Yes
CUST0023,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card,83.85,1325.93,Yes
CUST0024,Female,1,No,No,69,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card,71.91,5019.55,No
CUST0025,Female,0,No,Yes,72,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,83.8,6080.87,Yes
CUST0026,Female,0,No,Yes,36,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer,42.02,1529.38,Yes
CUST0027,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer,50.64,2639.99,Yes
CUST0028,Female,0,No,No,15,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,91.27,1458.09,Yes
CUST0029,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,One year,No,Electronic check,28.37,487.37,Yes
CUST0030,Female,0,No,Yes,18,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,50.26,917.35,Yes
CUST0031,Male,0,Yes,No,43,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,81.96,3586.92,No
CUST0032,Male,0,Yes,No,1,Yes,No,No,Yes,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,119.57,161.51,No
CUST0033,Female,0,No,No,57,Yes,No phone service,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,112.57,6482.22,No
CUST0034,Female,0,Yes,No,9,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer,103.22,1007.6,Yes
CUST0035,Female,0,No,No,45,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,70.08,3192.57,Yes
CUST0036,Male,0,Yes,No,18,Yes,No,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer,100.47,1857.76,Yes
CUST0037,Female,1,No,Yes,37,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,75.89,2811.78,Yes
CUST0038,Male,0,Yes,No,36,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card,65.85,2402.71,No
CUST0039,Male,1,No,No,44,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,42.35,1882.67,Yes
CUST0040,Male,0,Yes,Yes,33,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer,115.09,3899.31,Yes
CUST0041,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card,79.82,115.53,No
CUST0042,Male,0,No,No,43,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,Two year,Yes,Bank transfer,87.54,3819.37,Yes
CUST0043,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card,34.11,913.25,No
CUST0044,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,One year,Yes,Bank transfer,63.09,2994.74,Yes
CUST0045,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Two year,No,Electronic check,116.47,729.2,No
CUST0046,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,95.77,2575.63,Yes
CUST0047,Female,1,Yes,No,70,Yes,No,No,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,No,Electronic check,108.28,7676.57,No
CUST0048,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,One year,Yes,Credit card,59.59,1066.65,Yes
CUST0049,Female,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,26.65,860.07,Yes
CUST0050,Female,0,Yes,Yes,32,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,55.15,1782.2,No
CUST0051,Male,0,No,No,24,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,57.6,1435.32,Yes
CUST0052,Female,0,No,Yes,13,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Two year,Yes,Credit card,50.11,657.73,No
CUST0053,Male,0,No,No,37,Yes,Yes,No,Yes,Yes,No internet service,Yes,No internet service,Yes,One year,Yes,Bank transfer,72.67,2736.45,No
CUST0054,Female,1,Yes,No,37,Yes,No phone service,No,No internet service,No,Yes,No,No internet service,No,One year,Yes,Electronic check,39.21,1462.23,No
CUST0055,Male,0,Yes,No,3,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,No,One year,No,Mailed check,113.77,423.37,No
CUST0056,Female,0,Yes,No,61,Yes,No phone service,DSL,No,Yes,No,Yes,No,No internet service,One year,No,Electronic check,110.75,6848.08,No
CUST0057,Female,0,No,Yes,9,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,46.16,434.28,Yes
CUST0058,Male,0,Yes,No,34,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,85.15,2907.97,Yes
CUST0059,Male,0,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Two year,No,Credit card,70.11,1593.76,Yes
CUST0060,Male,0,No,Yes,64,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card,45.01,2883.15,No
CUST0061,Male,0,Yes,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No,One year,No,Bank transfer,109.71,2634.68,Yes
CUST0062,Male,0,Yes,No,52,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,43.11,2279.54,Yes
CUST0063,Male,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Two year,Yes,Credit card,82.46,1386.71,No
CUST0064,Male,0,No,Yes,56,No,Yes,DSL,No,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,53.54,3029.4,No
CUST0065,Male,0,No,Yes,19,Yes,No phone service,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,102.61,2017.86,No
CUST0066,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,82.03,2046.86,Yes
CUST0067,Female,0,No,No,41,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Credit card,103.26,4240.14,Yes
CUST0068,Male,1,No,Yes,44,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Electronic check,54.77,2421.74,No
CUST0069,Female,1,No,Yes,30,Yes,Yes,No,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer,21.12,649.0,No
CUST0070,Female,0,No,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,42.17,2710.01,Yes
CUST0071,Female,0,No,No,51,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,No,Bank transfer,101.44,5194.46,Yes
CUST0072,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer,51.69,1056.66,Yes
CUST0073,Male,0,No,Yes,29,Yes,No,No,No,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer,51.97,1544.74,Yes
CUST0074,Female,1,No,Yes,2,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,64.96,143.6,Yes
CUST0075,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No,No,No internet service,Yes,Yes,One year,No,Electronic check,47.47,3295.82,No
CUST0076,Female,1,No,No,42,Yes,No,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.71,4282.07,Yes
CUST0077,Female,1,Yes,Yes,28,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,One year,No,Mailed check,52.17,1469.74,No
CUST0078,Female,0,Yes,No,2,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card,80.4,199.13,Yes
CUST0079,Male,0,No,No,57,Yes,No phone service,No,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,65.1,3767.07,No
CUST0080,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Bank transfer,48.74,1596.04,Yes
CUST0081,Male,1,No,No,44,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card,46.53,2070.75,No
CUST0082,Female,0,No,Yes,68,Yes,No phone service,DSL,Yes,No,No,No,No,No internet service,Two year,Yes,Mailed check,70.19,4781.71,Yes
CUST0083,Male,1,Yes,Yes,31,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,41.08,1274.44,No
CUST0084,Female,0,Yes,Yes,51,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,54.56,2786.23,No
CUST0085,Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,23.94,1526.18,Yes
CUST0086,Male,1,No,Yes,39,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,99.03,3931.92,Yes
CUST0087,Female,0,No,No,12,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Bank transfer,24.36,310.49,Yes
CUST0088,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,107.23,3035.38,Yes
CUST0089,Female,0,No,Yes,62,Yes,Yes,No,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card,24.74,1536.1,No
CUST0090,Female,0,No,No,25,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Two year,No,Electronic check,104.82,2695.38,Yes
CUST0091,Female,0,Yes,Yes,58,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,84.42,4974.23,Yes
CUST0092,Female,0,Yes,No,48,Yes,No phone service,No,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,70.59,3420.24,Yes
CUST0093,Female,1,Yes,No,52,Yes,Yes,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card,34.5,1820.37,No
CUST0094,Female,1,Yes,Yes,30,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,45.68,1403.66,Yes
CUST0095,Female,0,Yes,No,11,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer,89.01,1055.1,No
CUST0096,Female,0,Yes,No,57,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,71.22,4061.56,No
CUST0097,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,71.43,2568.29,Yes
CUST0098,Female,0,Yes,Yes,9,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card,33.32,328.71,Yes
CUST0099,Female,1,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,67.51,396.72,Yes
CUST0100,Male,0,Yes,No,6,Yes,No,No,Yes,No internet service,No internet service,No internet service,No,No,One year,No,Electronic check,79.03,552.92,No
CUST0101,Male,0,No,No,30,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,32.23,987.51,Yes
CUST0102,Female,0,No,No,71,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,No internet service,Two year,No,Mailed check,117.43,8347.12,Yes
CUST0103,Female,0,Yes,No,2,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No,One year,No,Credit card,103.01,290.78,Yes
CUST0104,Female,0,No,No,46,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,51.75,2387.48,No
CUST0105,Female,0,No,No,0,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,76.34,56.33,Yes
CUST0106,Female,0,No,No,44,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,75.9,3371.78,No
CUST0107,Female,0,No,No,53,Yes,No,No,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,30.66,1625.18,No
CUST0108,Female,0,No,Yes,49,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Credit card,63.82,3154.99,No
CUST0109,Female,0,No,No,6,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,One year,Yes,Mailed check,40.78,277.17,Yes
CUST0110,Male,0,Yes,No,62,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.32,3310.5,No
CUST0111,Female,0,Yes,No,14,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card,114.39,1601.71,No
CUST0112,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer,75.13,4992.6,Yes
CUST0113,Female,0,No,No,29,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No,One year,Yes,Bank transfer,26.69,774.05,Yes
CUST0114,Female,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,No,One year,No,Bank transfer,87.23,5925.95,No
CUST0115,Male,0,No,Yes,35,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,119.86,4293.97,No
CUST0116,Female,1,No,Yes,66,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,36.77,2449.99,No
CUST0117,Male,1,No,Yes,4,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,Yes,Two year,No,Credit card,88.29,354.69,Yes
CUST0118,Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,102.43,2516.69,No
CUST0119,Female,1,No,No,10,Yes,No phone service,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card,104.41,1114.17,Yes
CUST0120,Male,0,Yes,No,71,Yes,Yes,No,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer,90.75,6496.56,Yes
CUST0121,Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Bank transfer,110.99,7319.45,No
CUST0122,Male,0,No,Yes,27,Yes,No,DSL,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,23.21,645.97,Yes
CUST0123,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,26.42,1568.43,No
CUST0124,Male,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,33.45,324.29,Yes
CUST0125,Male,0,No,No,49,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,One year,No,Credit card,24.33,1203.39,No
CUST0126,Female,0,No,No,38,Yes,No phone service,No,Yes,No,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,31.99,1245.32,No
CUST0127,Female,0,No,Yes,36,No,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,101.7,3724.06,No
CUST0128,Male,0,No,No,62,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No,No,Two year,No,Bank transfer,109.65,6862.12,No
CUST0129,Female,1,No,Yes,60,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,Two year,No,Bank transfer,53.6,3242.84,No
CUST0130,Female,0,No,Yes,37,Yes,No phone service,No,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card,115.72,4325.35,No
CUST0131,Female,0,No,Yes,32,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Electronic check,61.84,1988.04,Yes
CUST0132,Male,0,No,Yes,44,Yes,No,No,No internet service,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,37.2,1646.99,No
CUST0133,Male,0,Yes,No,43,Yes,No,No,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Credit card,88.13,3818.89,No
CUST0134,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,62.03,9.55,No
CUST0135,Male,0,Yes,Yes,52,Yes,No,No,Yes,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,21.94,1158.71,No
CUST0136,Male,0,Yes,Yes,46,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card,116.64,5365.7,Yes
CUST0137,Male,0,No,No,32,Yes,No,No,Yes,No,Yes,Yes,No internet service,Yes,One year,No,Mailed check,79.79,2626.35,Yes
CUST0138,Male,0,Yes,No,66,Yes,Yes,No,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,81.33,5378.21,Yes
CUST0139,Male,0,No,Yes,14,No,No phone service,DSL,Yes,Yes,No,No internet service,No internet service,No,Two year,No,Bank transfer,118.27,1661.81,No
CUST0140,Male,0,No,Yes,13,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,One year,No,Credit card,103.35,1446.4,No
CUST0141,Female,0,No,Yes,22,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No,No,Two year,No,Mailed check,56.27,1294.2,Yes
CUST0142,Male,0,No,Yes,53,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.18,1286.18,Yes
CUST0143,Female,0,Yes,Yes,7,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,One year,Yes,Bank transfer,42.24,301.33,No
CUST0144,Female,1,Yes,No,53,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No internet service,One year,No,Credit card,55.15,2933.86,No
CUST0145,Female,1,No,No,35,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,116.03,4120.38,Yes
CUST0146,Male,1,Yes,Yes,51,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,108.87,5587.34,No
CUST0147,Male,0,Yes,Yes,5,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,22.15,118.2,No
CUST0148,Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,118.72,3301.55,Yes
CUST0149,Male,0,No,Yes,49,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,45.71,2280.48,No
CUST0150,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card,97.54,3703.58,Yes
CUST0151,Male,0,Yes,No,29,Yes,No phone service,DSL,No,Yes,No internet service,No,No internet service,No,One year,No,Electronic check,31.66,934.44,No
CUST0152,Male,0,Yes,Yes,72,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,One year,No,Bank transfer,42.03,3036.51,No
CUST0153,Male,1,No,No,53,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,70.54,3777.76,No
CUST0154,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,No,Bank transfer,90.36,6403.91,No
CUST0155,Male,1,Yes,Yes,45,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,Two year,Yes,Mailed check,54.54,2455.99,No
CUST0156,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,107.33,2995.71,No
CUST0157,Male,0,Yes,Yes,16,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Bank transfer,114.02,1850.15,No
CUST0158,Female,0,No,No,47,Yes,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,One year,No,Bank transfer,32.26,1526.24,No
CUST0159,Male,0,No,Yes,43,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,91.86,3983.42,No
CUST0160,Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Credit card,33.19,1988.54,No
CUST0161,Male,0,No,Yes,59,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Credit card,54.08,3200.24,No
CUST0162,Male,0,No,Yes,4,Yes,Yes,No,Yes,No internet service,No,No,No,Yes,One year,Yes,Bank transfer,101.96,430.58,No
CUST0163,Female,0,No,No,68,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Credit card,53.64,3686.74,No
CUST0164,Female,1,Yes,Yes,69,Yes,No,No,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer,110.74,7744.57,Yes
CUST0165,Female,0,No,No,6,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.15,373.3,Yes
CUST0166,Male,1,Yes,No,52,Yes,No phone service,No,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card,50.98,2677.58,No
CUST0167,Female,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer,118.91,2011.3,No
CUST0168,Male,0,No,No,58,No,Yes,DSL,No internet service,Yes,No,No,No,No internet service,Two year,No,Bank transfer,64.15,3777.54,No
CUST0169,Male,0,Yes,Yes,8,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,842.05,Yes
CUST0170,Female,0,Yes,No,21,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,79.95,1751.07,No
CUST0171,Female,0,Yes,No,44,Yes,No phone service,No,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,40.25,1783.67,No
CUST0172,Male,0,No,Yes,72,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,70.03,5056.73,No
CUST0173,Male,0,Yes,Yes,58,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,27.74,1633.93,No
